source,target_preferred,status
tread wear indicator,индикатор износа протектора,candidate
trim clip,фиксатор облицовки,reviewed
trim line,линия обрезки,candidate
trim remover,съёмник облицовки,candidate
trip meter,счётчик пробега за поездку,candidate
tripod joint,трипоидный шарнир,candidate
Troubleshooting,Поиск и устранение неисправностей,approved
trunk floor,пол багажного отделения,candidate
trunk sill trim panel assembly,облицовка порога багажного отделения в сборе,candidate
tubeless tire,бескамерная шина,candidate
tubeless valve,вентиль бескамерной шины,candidate
turbine housing,корпус турбины,candidate
turbine wheel,турбинное колесо гидротрансформатора,candidate
turbocharger,турбокомпрессор,candidate
turbocharger actuator,исполнительный механизм турбокомпрессора,candidate
turbocharger compressor housing,корпус компрессора турбокомпрессора,candidate
turn,повернуть,candidate
turn clockwise,повернуть по часовой стрелке,candidate
turn counterclockwise,повернуть против часовой стрелки,candidate
turn off the power supply,отключить питание,candidate
twisted pair,витая пара,candidate
two-jaw puller,двухзахватный съёмник,candidate
unauthorized entry warning,предупреждение о несанкционированном проникновении,candidate
unbolt,отвернуть болты крепления,candidate
unclip,отсоединить фиксаторы,candidate
uncured foam,неотверждённая пена,candidate
underbody coating,антикоррозионное покрытие днища,candidate
underheating,недостаточный прогрев,candidate
underinflation,недостаточное давление в шине,candidate
uneven tire wear,неравномерный износ шины,candidate
unhook,снять с крючка,candidate
unified diagnostic services,унифицированные диагностические службы,candidate
uniformly arranged heating wires,равномерно расположенные нагревательные дорожки,candidate
union fitting,соединительный штуцер,candidate
universal joint,карданный шарнир,candidate
universal joint adapter,карданный переходник,candidate
unlock,разблокировать,candidate
unscrew,вывернуть,candidate
unstake,раскернить,candidate
update and configuration management,управление обновлением и конфигурацией,candidate
upper anchor,верхнее крепление ремня,candidate
upper control arm,верхний рычаг подвески,candidate
upper radiator hose,верхний шланг радиатора,candidate
upper tie bar,верхняя поперечина рамки радиатора,candidate
upstream oxygen sensor,верхний датчик кислорода,candidate
urea solution tank,бак раствора мочевины,candidate
usable battery capacity,доступная ёмкость аккумуляторной батареи,candidate
use a new part,использовать новую деталь,candidate
used engine oil,отработанное моторное масло,candidate
used oil filter,отработанный масляный фильтр,candidate
vacuum brake booster,вакуумный усилитель тормозов,candidate
vacuum gauge,вакуумметр,candidate
valve body,гидроблок,candidate
valve cap,колпачок вентиля,candidate
valve clearance,зазор в клапанном механизме,candidate
valve collet,сухарь клапана,candidate
valve core,золотник вентиля,candidate
valve face,рабочая фаска клапана,candidate
valve guide,направляющая втулка клапана,candidate
valve lifter,толкатель клапана,candidate
valve seat,седло клапана,candidate
valve spool,золотник клапана,candidate
valve spring,пружина клапана,candidate
valve spring compressor,рассухариватель клапанов,candidate
valve spring retainer,тарелка пружины клапана,candidate
valve stem,стержень клапана,deprecated
valve stem seal,маслосъёмный колпачок,candidate
valve train,клапанный механизм,candidate
vane pump,пластинчатый насос,candidate
vapor and spray,пары и аэрозоль,candidate
variable valve timing,система изменения фаз газораспределения,candidate
variable valve timing solenoid,электромагнитный клапан системы изменения фаз газораспределения,candidate
variator,вариатор,candidate
VCU mounting bracket assembly,кронштейн крепления VCU в сборе,candidate
vehicle actuator,исполнительный механизм автомобиля,candidate
vehicle attribute,атрибут автомобиля,candidate
vehicle body floor,панель пола кузова,candidate
vehicle data broker,брокер данных автомобиля,candidate
vehicle data model,модель данных автомобиля,candidate
vehicle data specification,спецификация данных автомобиля,candidate
vehicle height,высота автомобиля,candidate
vehicle length,длина автомобиля,candidate
vehicle locating function,функция поиска автомобиля,candidate
vehicle property,свойство автомобиля,candidate
vehicle search function,функция поиска автомобиля,candidate
vehicle service,сервис данных автомобиля,candidate
vehicle signal,сигнал автомобиля,candidate
vehicle signal specification,спецификация сигналов автомобиля,candidate
vehicle speed,скорость автомобиля,candidate
vehicle width,ширина автомобиля,candidate
vehicle-to-grid,обмен энергией между автомобилем и электросетью,candidate
vehicle-to-home,питание дома от автомобиля,candidate
vent,стравить воздух,reviewed
vent the system,стравить давление из системы,candidate
verify,убедиться,candidate
verify connector locking,проверить фиксацию разъёма,candidate
verify operation,проверить работоспособность,candidate
vernier caliper,штангенциркуль,candidate
VIN,VIN,approved
viscous coupling,вязкостная муфта,candidate
visor hook,фиксатор солнцезащитного козырька,candidate
visually inspect,осмотреть,candidate
voltage drop,падение напряжения,candidate
voltage lower limit,нижний предел напряжения,candidate
voltage regulator,регулятор напряжения,candidate
voltage upper limit,верхний предел напряжения,candidate
vulnerable road user,уязвимый участник дорожного движения,candidate
wake-up signal,сигнал пробуждения,candidate
warm up the engine,прогреть двигатель,candidate
warn pedestrians and other vehicles,предупреждать пешеходов и водителей других автомобилей,candidate
Warning,Предупреждение,approved
wash,промыть,candidate
washer,шайба,candidate
waste gas,отработавшие газы,candidate
wastegate actuator,привод перепускного клапана турбокомпрессора,candidate
wastegate valve,перепускной клапан турбокомпрессора,candidate
water pump,насос охлаждающей жидкости,candidate
wave washer,волнистая шайба,candidate
weatherproof connector,герметичный разъём,candidate
weld,сварить,candidate
weld bead,валик сварного шва,candidate
weld diameter,диаметр сварной точки,candidate
weld drill,сверло для сварных точек,candidate
weld in the specified sequence,выполнить сварку в указанной последовательности,candidate
weld nugget,литое ядро сварной точки,candidate
weld penetration,провар,candidate
weld pitch,шаг сварных точек,candidate
weld remover,инструмент для удаления сварных точек,candidate
weld respectively to,приварить соответственно к,candidate
weld spacing,расстояние между сварными точками,candidate
weld-through primer,токопроводящий сварочный грунт,candidate
welding clamp,сварочный зажим,candidate
welding location,место сварки,candidate
welding operation,сварочная операция,candidate
Welding precautions,Меры предосторожности при сварке,approved
well-ventilated area,хорошо проветриваемая зона,candidate
wheel,колесо,candidate
wheel alignment,углы установки колёс,reviewed
wheel balance weight,балансировочный груз,candidate
wheel balancer,балансировочный станок,candidate
wheel bearing,подшипник ступицы колеса,candidate
wheel bolt,колёсный болт,candidate
wheel cover,колёсный колпак,candidate
wheel cylinder,колёсный тормозной цилиндр,candidate
wheel disc,диск колеса,candidate
wheel hub,ступица колеса,candidate
wheel imbalance,дисбаланс колеса,candidate
wheel nut,колёсная гайка,candidate
wheel offset,вылет колеса,candidate
wheel rim,обод колеса,candidate
wheel runout,биение колеса,candidate
wheel speed,частота вращения колеса,candidate
wheel speed sensor,датчик частоты вращения колеса,candidate
wheel stud,шпилька колеса,candidate
wheelbase,колёсная база,candidate
wheelhouse,колёсная ниша,candidate
wheelhouse inner panel,внутренняя панель колёсной ниши,candidate
wheelhouse outer panel,наружная панель колёсной ниши,candidate
wheelhouse panel,панель колёсной арки,candidate
window switch panel,панель переключателей стеклоподъёмников,candidate
windscreen defrost system,система обогрева ветрового стекла,candidate
windscreen fogging,запотевание ветрового стекла,candidate
windscreen frost,иней на ветровом стекле,candidate
windshield opening,проём ветрового стекла,candidate
windshield washer fluid,жидкость стеклоомывателя,candidate
winter tire,зимняя шина,candidate
wipe,протереть,candidate
wipe clean,протереть начисто,candidate
wiper seal,грязесъёмное уплотнение,candidate
wiping cloth,обтирочная ветошь,candidate
wire clip,проволочный фиксатор,candidate
wire harness,жгут проводов,candidate
wireless power transfer,беспроводная передача энергии,candidate
withdraw,извлечь,candidate
working area,рабочая зона,candidate
working condition,исправное состояние,candidate
workshop tools and equipment,инструменты и оборудование мастерской,candidate
write data by identifier,запись данных по идентификатору,candidate
yaw rate sensor,датчик угловой скорости рыскания,candidate
zinc-rich primer,цинконаполненный грунт,candidate
